 ,Label,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
18,processed,18.669,64930.125,1396.809,17.377,1396.809,17.377,13.857,5.404,4.399,45.000,1.000,1.229,0.814,0.941
19,processed,688.410,64878.817,290.254,31.404,290.255,31.404,106.689,30.643,28.604,58.931,0.760,1.071,0.933,0.878
20,processed,7.001,64959.333,1258.497,18.586,1258.497,18.586,8.641,3.612,2.468,135.000,1.000,1.464,0.683,0.857
21,processed,88.677,64916.421,1333.725,21.789,1333.725,21.788,37.250,11.920,9.472,36.782,0.803,1.258,0.795,0.826
22,processed,37.338,64957.750,215.584,22.437,215.584,22.437,24.659,7.505,6.335,155.182,0.772,1.185,0.844,0.762
23,processed,25.670,64938.909,1316.870,21.456,1316.870,21.456,21.604,6.605,4.948,29.285,0.691,1.335,0.749,0.710
24,processed,44.338,64947.211,68.943,23.517,68.944,23.517,25.554,9.965,5.665,38.162,0.853,1.759,0.569,0.809
25,processed,478.387,64921.332,205.449,35.154,205.448,35.153,120.546,30.440,20.010,157.214,0.414,1.521,0.657,0.730
26,processed,865.764,64874.960,118.649,38.448,118.647,38.447,114.065,38.944,28.306,42.864,0.836,1.376,0.727,0.914
27,processed,247.361,64821.226,1530.493,37.268,1530.495,37.268,63.853,21.563,14.606,98.942,0.762,1.476,0.677,0.891
28,processed,256.695,64725.464,1504.502,36.288,1504.499,36.290,59.903,20.471,15.966,156.353,0.899,1.282,0.780,0.921
29,processed,200.689,64937.372,1330.336,42.897,1330.335,42.897,93.203,26.286,9.721,158.463,0.290,2.704,0.370,0.550
30,processed,641.739,64898.047,1383.318,54.891,1383.318,54.889,142.674,30.875,26.465,94.250,0.396,1.167,0.857,0.685
31,processed,238.027,64912.471,42.249,38.115,42.247,38.115,75.920,30.263,10.014,171.817,0.519,3.022,0.331,0.776
32,processed,1526.171,64826.859,512.647,54.725,512.647,54.726,145.359,44.912,43.266,146.717,0.908,1.038,0.963,0.946
33,processed,1033.782,64868.822,1119.044,50.616,1119.045,50.618,131.502,38.078,34.567,157.990,0.751,1.102,0.908,0.903
34,processed,833.093,64890.261,1203.661,49.921,1203.659,49.919,125.762,34.408,30.828,64.479,0.662,1.116,0.896,0.884
35,processed,1192.467,64880.924,1483.739,61.545,1483.737,61.545,241.093,54.155,28.036,112.761,0.258,1.932,0.518,0.657
36,processed,1281.144,64805.106,677.757,54.294,677.758,54.296,133.138,42.293,38.569,140.051,0.908,1.097,0.912,0.937
